Materia,ID
 HISTORIA ANTIGUA-TEXTO SECUNDARIO,105
 BIOGRAFIAS-ARGENTINA-DICCIONARIO,106
 INGLES-DICCIONARIO DIFICULTADES-INGLES-DICCIONARIO,107
 INGLES-MODISMOS-DICCIONARIO,108
  ITALIANO-ESPAÑOL-DICCIONARIO ESPAÑOL-ITALIANO-DICCIONARIO,109
  ESPAÑOL-ORATORIA ITALIANO-ORATORIA,110
 ITALIANO-ESPAÑOL-DICCIONARIO,111
  LATIN-ESPAÑOL-DICCIONARIO ESPAÑOL-LATIN-DICCIONARIO,112
EPICURO  FILOSOFIA-EPICURO MITOLOGIA GRIEGA,113
 MAPUCHE-ESPAÑOL-DICCIONARIO ARAUCANO-ESPAÑOL-DICCIONARIO PAMPA LENGUA-DICCIONARIO PEHUENCHES ABORIGENES HUILLICHE LINGÜISTICA-DICCIONARIO PICUNCHE-LENGUA-DICCIONARIO RANCULCHE-LENGUA-DICCIONARIO,114
  PORTUGUES-ESPAÑOL-DICCIONARIO ESPAÑOL-PORTUGUES-DICCIONARIO,115
 AMERICANISMOS-DICCIONARIO,116
 ARGENTINISMOS LINGÜISTICA-DICCIONARIO,117
 - ESPAÑOL-MODISMOS-DICCIONARIO ESPAÑOL-REFRANES-DICCIONARIO,118
 ESPAÑOL-MODISMOS-DICCIONARIO LITERATURA ESPAÑOLA-MODISMOS MODISMOS,119
 ESPAÑOL-GALICISMOS-DICCIONARIO GALICISMOS-DICCIONARIO,120
 VULGARISMOS LINGÜISTICA-ARGENTINA-DICCIONARIO LUNFARDO-DICCIONARIO,121
 ESPAÑOL LINGÜISTICA-VULGARISMOS-BUENOS AIRES-DICCIONARIO LUNFARDO-DICCIONARIO,122
 ESPAÑOL-MODISMOS-DICCIONARIO,123
- LITERATURA ESPAÑOLA-MAXIMAS-DICCIONARIO LITERATURA ESPAÑOLA-SENTENCIAS-DICCIONARIO LITERATURA ESPAÑOLA-PENSAMIENTOS-DICCIONARIO,124
 MODISMOS-LA RIOJA ARGENTINA-DICCIONARIO ESPAÑOL-MODISMOS FOLCLORE-ARGENTINA,125
 QUECHUA-TOPONIMIA-CATAMARCA-DICCIONARIO,126
 MODISMOS-ARGENTINA-DICCIONARIO,127
- LITERATURA ARGENTINA-CUENTO-ANTOLOGIA CUENTO ARGENTINO-ANTOLOGIA,128
 FRANCES-ITALIANO-DICCIONARIO ITALIANO-FRANCES-DICCIONARIO,129
 DICCIONARIO-NIVEL PRIMARIO,130
