Autor,ID
"Marechal, Leopoldo (1900-1970); Andrés, Alfredo (comp. y prol.)",0
"Abós, Álvaro (1941-...)",1
"Agustín, Santo (354-430); Esclassana, A. (trad.)",2
"Alarcón, Pedro Antonio de (1833-1891)",3
"Alberdi, Juan Bautista (1810-1884)",4
"Alberti, Rafael (1902-1999)",5
"Alcántara, Lidia E.",6
"Alemán, Nélida Elba",7
Sin responsables,8
"Alemán, Nélida Elba; López Raffo, Alberto",9
"Alighieri, Dante (1265-1321); Crespo, Angel (prol. y trad.)",10
Almafuerte (1854-1917),11
"Alonso, María Ernestina; Elisalde, Roberto Mario; Vázquez, Enrique Carlos",12
Fray Mocho (1858-1903),13
"Allende, Isabel (1942-...)",14
"Amado, Jorge (1912-2001)",15
"Ameghino, Florentino",16
"Borges, Jorge Luis (1899-1986)",17
"Anaxágoras (500 a.C.-428 a.C.); Martin, Juan (trad. y prol.)",18
"Angulo Usategui, José María",19
"Fernández, Lirio",20
"Apostol, Tom M.",21
"Ruíz, Arcipreste de Hita, Juan",22
"Arenas Luque, Fermín Vicente",23
"Cervantes Saavedra, Miguel de (1547-1616)",24
"Arias, Abelardo (1918-1991)",25
Aristóteles (384 a.C.-322 a.C.),26
"Arlt, Roberto (1900-1942)",27
"Ascasubi, Hilario (1807-1875); Borges, Jorge Luis (1899-1986) (comp.)",28
"Ashton, T.S.; Cuevas Cancino, Francisco (trad.)",29
Argentina. Comisión Nacional sobre la Desaparición de Personas (CONADEP),30
"Asti Vera, Armando",31
"Asturias, Miguel Angel (1899-1974)",32
"Calderón de la Barca, Pedro (1600-1681)",33
"Camba, Nelly Villa de",34
"Cambaceres, Eugenio (1843-1888)",35
"Campo, Estanislao del (1834-1880)",36
"Camus, Albert (1913-1960); Del Carril, Bonifacio (trad.)",37
"Cané, Miguel (1851-1905)",38
"Caramés Ferro, José María",39
"Carlevari, Isidro J.F.",40
"Carpentier, Alejo (1904-1980)",41
"Carpineti, Rosa P. de; Rosetti, Mabel (colab.)",42
"Carpio, Adolfo P.",43
"Carriego, Evaristo (1883-1912)",44
"Casona, Alejandro (1903-1965)",45
"Castillo, Abelardo (1935-2017)",46
"Casullo, Alicia Beatriz; Sabsay, Daniel Alberto (1951-...)",47
"Celotto, Amanda; Finocchio, Silvia G.; Pavicich, Mónica Beatriz",48
"Celotto, Amanda; Finocchio, Silvia G.; García, Patricia Ana",49
"Celotto, Amanda; Finocchio, Silvia G.; Galante, Andrea",50
"Cervantes Saavedra, Miguel de (1547-1616); Francone, Viena (colab.)",51
"Cicerón, Marco Tulio (106 a.C.-43 a.C.); Samaranch, Francisco de P. (colab.)",52
"Ciró, Rolando Omar",53
"Cosmelli Ibáñez, José Luis (...-1992)",54
"Maggio de Taboada, Maria Adriana (comp.)",55
"Blanco, Lidia (comp.); Giniger, Florencia E. de (comp.)",56
"Elgorreaga, Florencia (colab.)",57
"Dayan, Eduardo (comp.); Planas, María Cristina (comp.)",58
"Vassallo, Isabel (comp.)",59
"Curtis, Helen; Barnes, N. Sue",60
"Chandías, Mario E. (.)",61
"Chaponick, Héctor (colab.)",62
"Chevalier, A.",63
"Cholvis, Francisco",64
Argentina. Ministerio de Defensa,65
"Chaliand, Gérard; Rageau, Jean-Pierre; Petit, Catherine",66
"Chaliand, Gérard; Rageau, Jean-Pierre",67
"Fernández, Macedonio (1874-1952)",68
"Fernández de Moratín, Leandro (1760-1828); Tarruella, Alfredo (colab.)",69
"Slaby, Rudolf; Grossman, Rodolfo",70
"Enenkel, Arthur",71
"Gálvez, Manuel (1882-1962)",72
"Freire, Paulo (1921-1997); Mellado, J. (trad.)",73
